date,avg_temp,daylight_hours,bad_weather,hours_overcast,gloomy_today,gloomy_past_two_days,gloomy_past_three_days
2010-07-07,90,15,,2,0,0,0
2010-07-08,83,15,1,5,0,0,0
2010-07-09,82,15,1,3,0,0,0
2010-07-10,78,15,,3,0,0,0
2010-07-11,82,15,1,1,0,0,0
2010-07-12,84,15,,1,0,0,0
2010-07-13,78,15,1,12,1,0,0
2010-07-14,76,15,1,19,1,1,0
2010-07-15,80,15,1,9,0,0,0
2010-07-16,84,15,1,6,0,0,0
2010-07-17,85,15,,0,0,0,0
2010-07-18,86,15,,0,0,0,0
2010-07-19,82,15,1,3,0,0,0
2010-07-20,82,15,,0,0,0,0
2010-07-21,84,15,,2,0,0,0
2010-07-22,82,15,,0,0,0,0
2010-07-23,80,15,1,3,0,0,0
2010-07-24,88,15,,1,0,0,0
2010-07-25,82,15,1,2,0,0,0
2010-07-26,78,15,,0,0,0,0
2010-07-27,80,15,,0,0,0,0
2010-07-28,82,14,,2,0,0,0
2010-07-29,82,14,1,3,0,0,0
2010-07-30,76,14,,2,0,0,0
2010-07-31,76,14,,1,0,0,0
2010-08-01,75,14,,5,0,0,0
2010-08-02,77,14,1,2,0,0,0
2010-08-03,79,14,,8,0,0,0
2010-08-04,83,14,1,3,0,0,0
2010-08-05,86,14,1,1,0,0,0
2010-08-06,80,14,1,2,0,0,0
2010-08-07,78,14,1,4,0,0,0
2010-08-08,81,14,,10,1,0,0
2010-08-09,84,14,1,0,0,0,0
2010-08-10,85,14,1,2,0,0,0
2010-08-11,84,14,1,2,0,0,0
2010-08-12,72,14,1,16,1,0,0
2010-08-13,75,14,,11,1,1,0
2010-08-14,74,14,1,0,0,0,0
2010-08-15,72,14,1,17,1,0,0
2010-08-16,78,14,1,14,1,1,0
2010-08-17,82,14,1,0,0,0,0
2010-08-18,79,14,1,0,0,0,0
2010-08-19,80,14,1,1,0,0,0
2010-08-20,82,14,1,0,0,0,0
2010-08-21,76,14,1,2,0,0,0
2010-08-22,74,14,1,22,1,0,0
2010-08-23,68,13,1,24,1,1,0
2010-08-24,67,13,1,24,1,1,1
2010-08-25,66,13,1,22,1,1,1
2010-08-26,74,13,,2,0,0,0
2010-08-27,70,13,1,0,0,0,0
2010-08-28,72,13,,0,0,0,0
2010-08-29,80,13,1,0,0,0,0
2010-08-30,82,13,1,0,0,0,0
2010-08-31,86,13,1,0,0,0,0
2010-09-01,86,13,1,0,0,0,0
2010-09-02,86,13,1,0,0,0,0
2010-09-03,80,13,1,3,0,0,0
2010-09-04,72,13,1,3,0,0,0
2010-09-05,70,13,,0,0,0,0
2010-09-06,70,13,,0,0,0,0
2010-09-07,78,13,,0,0,0,0
2010-09-08,78,13,1,0,0,0,0
2010-09-09,66,13,,9,0,0,0
2010-09-10,68,13,1,9,0,0,0
2010-09-11,69,13,,1,0,0,0
2010-09-12,63,13,1,15,1,0,0
2010-09-13,68,13,1,12,1,1,0
2010-09-14,68,13,1,1,0,0,0
2010-09-15,64,12,,0,0,0,0
2010-09-16,64,12,1,14,1,0,0
2010-09-17,65,12,1,14,1,1,0
2010-09-18,64,12,1,15,1,1,1
2010-09-19,71,12,1,6,0,0,0
2010-09-20,66,12,1,0,0,0,0
2010-09-21,64,12,,0,0,0,0
2010-09-22,76,12,1,2,0,0,0
2010-09-23,74,12,1,2,0,0,0
2010-09-24,76,12,1,3,0,0,0
2010-09-25,78,12,1,2,0,0,0
2010-09-26,68,12,1,5,0,0,0
2010-09-27,66,12,1,24,1,0,0
2010-09-28,72,12,1,18,1,1,0
2010-09-29,70,12,1,7,0,0,0
2010-09-30,72,12,1,24,1,0,0
2010-10-01,66,12,1,19,1,1,0
2010-10-02,59,12,,0,0,0,0
2010-10-03,57,12,1,9,0,0,0
2010-10-04,54,12,1,24,1,0,0
2010-10-05,57,12,1,24,1,1,0
2010-10-06,59,12,1,13,1,1,1
2010-10-07,62,12,,4,0,0,0
2010-10-08,64,11,,0,0,0,0
2010-10-09,63,11,,0,0,0,0
2010-10-10,58,11,,0,0,0,0
2010-10-11,66,11,1,5,0,0,0
2010-10-12,62,11,1,8,0,0,0
2010-10-13,56,11,,0,0,0,0
2010-10-14,56,11,1,11,1,0,0
2010-10-15,53,11,1,23,1,1,0
2010-10-16,54,11,,6,0,0,0
